X,Y,Grant.ID,fullAddress,OBJECTID,UNIT_COUNT,CNTY_FIPS,COUNTY,MSSA_ID,MSSA_NAME,DEFINITION,POPDENSITY,AREA_SQMI,POP,PCSA,PCSA_SCORE,PC_PHYS,PC_PHYS_R_,POVScore,PHYSRatioS,Shape__Are,Shape__Len
-117.167026,33.61499601,2253272-2223,"28078 Baxter Road, Murrieta, CA 92563",72,20,65,Riverside,131b,French Valley/Murrieta East/Temecula/Winchester,Urban,864.0639924,1.92411456,108589,Yes,5,55,2746.472727,1,4,0.041943541,0.995479377
-118.44574,34.32603902,2253219-2223,"14445 Olive View Drive, Sylmar, CA 91342",448,24,37,Los Angeles,78.2gg,Angeles National Forest West/Kagel Canyon/Lake View Terrace/San Fernando East/Sylmar,Urban,712.5301005,1.24657255,26195,No,3,135,758.7407407,3,0,0.035581199,1.573146434
-120.389985,37.97984301,2289299-2223,"193 S Fairview Ln, Sonora, CA 95370",312,4,109,Tuolumne,234.2,Columbia/Jamestown/Sonora,Rural,50.14773433,7.43391431,18930,No,3,38,523.5789474,3,0,0.113846432,2.943593543
-122.231684,37.79828801,2253211-2223,"1411 East 31st Street, Oakland, CA 94602",341,29,1,Alameda,2c,Oakland West Central,Urban,10976.16847,0.08793611,68948,Yes,5,354.5,242.1382229,5,0,0.002002612,0.387876428
-117.508533,33.80477999,2253264-2223,"21634 Retreat Parkway, Temescal Valley, CA 92883",84,21,65,Riverside,135f,Corona South/El Cerrito/Temescal,Urban,1571.535321,1.69225002,81286,No,3,67,1914.477612,1,2,0.019754194,0.737352764
-119.33212,36.23476098,2289300-2223,"2059 Hillman St, Tulare, CA 93274",307,15,107,Tulare,230,Tipton/Tulare/Woodville,Rural,220.1281827,1.00112947,31467,Yes,7,38,2008.026316,4,3,0.089478216,1.397097766
-116.182519,33.68246501,2253181-2223,"50249 Cesar Chavez St, Coachella, CA 92236",65,17,65,Riverside,128,Arabia/Coachella/Desert Beach/Flowing Wells/Indio South/La Quinta East/Mecca/Oasis/Thermal,Urban,342.596298,163.3181648,15284,Yes,9,40.5,2654.567901,5,4,0.076596051,1.730206007
-118.292063,33.830266,2253281-2223,"1000 W Carson St, Torrance, CA 90505",426,25,37,Los Angeles,78.2aaaa,Harbor Gateway South/Lomita/Torrance East Central,Urban,6190.362246,0.13029728,72080,No,2,512,223.6582031,2,0,0.00462218,0.377261181
-117.1605381,32.75335728,2253226-2223,"4094 Fifth Ave, San Diego, CA 92103",150,25,73,San Diego,161b,Bay Park/Five Points/Hillcrest Northwest/Mission Hills/Mission Valley/Morena/Normal Heights/Old Town/Serra Mesa,Urban,5302.957947,0.65211843,81628,No,2,825,120.7321212,2,0,0.004715697,0.505206668
-117.244372,33.95485398,2253282-2223,"11441 Heacock St, Suite C, Moreno Valley, Riverside  92557",85,21,65,Riverside,135g,Moreno Valley,Urban,3625.999519,1.47790946,43053,Yes,8,6,15088.33333,3,5,0.00634201,0.536480358
-118.2064778,34.05627769,2253293-2223,"2051 Marengo St, Los Angeles, Los Angeles  90033",446,32,37,Los Angeles,78.2ffff,Boyle Heights Northwest/Chinatown/Downtown Northwest/Little Tokyo/Westlake,Urban,16209.12804,0.33727432,44315,Yes,5,917,105.8898582,5,0,0.001634674,0.332299999
-118.2064778,34.05627769,2253293-2223,"2051 Marengo St, Los Angeles, Los Angeles  90033",446,32,37,Los Angeles,78.2ffff,Boyle Heights Northwest/Chinatown/Downtown Northwest/Little Tokyo/Westlake,Urban,16209.12804,0.33727432,44315,Yes,5,917,105.8898582,5,0,0.001634674,0.332299999
-122.052219,37.92606601,2253183-2223,"1450 Treat Boulevard, Walnut Creek, CA 94597",251,19,13,Contra Costa,18j,Clayton/Concord South/Walnut Creek Central and East,Urban,1509.732389,0.6176135,91025,No,1,330,309.0575758,1,0,0.017505703,0.840090212
-121.282416,37.88664802,2253195-2223,"500 West Hospital Road, French Camp, CA 95231",187,31,77,San Joaquin,169b,French Camp/Stockton South/Stockton Southeast,Urban,1568.284965,16.20096385,55734,Yes,6,134,1034.261194,5,1,0.023672387,0.867501015
-121.282252,37.95628902,2253199-2223,"701 East Channel, Stockton, CA 95202",187,31,77,San Joaquin,169b,French Camp/Stockton South/Stockton Southeast,Urban,1568.284965,16.20096385,55734,Yes,6,134,1034.261194,5,1,0.023672387,0.867501015
-121.28826,37.97041198,2253165-2223,"1800 North California Street, Stockton, CA 952044",186,20,77,San Joaquin,169a,Stockton North Central/Stockton Northeast,Urban,7088.135976,0.19981451,63155,Yes,5,182,532.1648352,5,0,0.003687086,0.417598879
-118.290149,34.097497,2253234-2223,"4650 Sunset Blvd, Los Angeles, CA 90027",447,33,37,Los Angeles,78.2g,Hollywood South Central/Inner Sunset,Urban,22439.54133,0.13156428,52412,Yes,5,757,150.9431968,5,0,0.001300042,0.208460088
-118.447052,34.06512999,2253242-2223,"200 UCLA Medical Plaza, Suite 265, Los Angeles, CA 90095",500,32,37,Los Angeles,78.2w,Century City/Cheviot Hills/Rancho Park/West Los Angeles/Westwood,Urban,10795.80423,0.14805855,121865,No,3,689,174.8708273,3,0,0.003092232,0.401984061
-119.78314,36.74644499,2253204-2223,"290 N. Wayte Ln, Fresno, CA 93701",359,20,19,Fresno,35c,Fresno West Central,Urban,6845.721182,0.49553136,35392,Yes,5,109.1666667,749.6610687,5,0,0.003206182,0.252897002
-120.413198,34.95114099,2253245-2223,"1400 East Church Street, Santa Maria, CA 93454",209,24,83,Santa Barbara,180.1,Orcutt/Santa Maria,Urban,626.540796,3.45184595,54300,No,4,123,1101.349594,3,1,0.054634369,1.547780364
-117.994914,33.82543999,2253222-2223,"3033 W Orange Ave, Anaheim, CA 92804",31,20,59,Orange,116c,Anaheim West,Urban,11058.89329,0.50759448,66083,No,4,86,1439.802326,3,1,0.002810334,0.272462208
